Nombre del producto o servicio,Nombre de la variante,Categoría,SKU,Cantidad,Moneda,Monto,Precio de costo,Utilidad,Margen
BEBIDA 350CC - Sprite Zero,,AMERICAN PRIME BURGER,,6,CLP,"12000,00",,,
BEBIDA 350CC - Sprite Zero,,,,1,CLP,"2000,00",,,
BEBIDA 350CC - Sprite Zero,,AMERICAN PRIME BURGER,,8,CLP,"16000,00",,,
BEBIDAS 350CC,Coca Cola,AÇAÍ PRIME,,6,CLP,"12000,00",,,
BEBIDAS 350CC,Coca Cola Zero,AÇAÍ PRIME,,2,CLP,"4000,00",,,
BEBIDAS 350CC,Coca Cola Zero,AÇAÍ PRIME,,1,CLP,"2000,00",,,
BEBIDAS 350CC,Fanta,AÇAÍ PRIME,,1,CLP,"2000,00",,,
BEBIDAS 350CC,Pepsi,AÇAÍ PRIME,,1,CLP,"2000,00",,,
BEBIDAS 350CC  - Coca Cola,,,,2,CLP,"4000,00",,,
BEBIDAS 350CC  - Coca Cola,,AÇAÍ PRIME,,8,CLP,"14000,00",,,
BEBIDAS 350CC  - Coca Cola Light,,,,1,CLP,"2000,00",,,
BEBIDAS 350CC  - Coca Cola Light,,AÇAÍ PRIME,,1,CLP,"2000,00",,,
BEBIDAS 350CC  - Coca Cola Zero,,AÇAÍ PRIME,,6,CLP,"10000,00",,,
BEBIDAS 350CC  - Coca Cola Zero,,AÇAÍ PRIME,,8,CLP,"16000,00",,,
BEBIDAS 350CC  - Coca Cola Zero,,,,6,CLP,"12000,00",,,
BEBIDAS 350CC  - Fanta,,AÇAÍ PRIME,,2,CLP,"4000,00",,,
BEBIDAS 350CC  - Fanta Pomelo Zero,,AÇAÍ PRIME,,2,CLP,"4000,00",,,
BEBIDAS 350CC  - Fanta Zero,,AÇAÍ PRIME,,4,CLP,"8000,00",,,
BEBIDAS 350CC  - Fanta Zero Pomelo,,AÇAÍ PRIME,,3,CLP,"4000,00",,,
BEBIDAS 350CC  - Fanta Zero Pomelo,,,,1,CLP,"2000,00",,,
BEBIDAS 350CC  - Kem,,AÇAÍ PRIME,,4,CLP,"8000,00",,,
BEBIDAS 350CC  - Limón Soda,,AÇAÍ PRIME,,2,CLP,"4000,00",,,
BEBIDAS 350CC  - Limón soda,,AÇAÍ PRIME,,1,CLP,"2000,00",,,
BEBIDAS 350CC  - Limón soda,,,,2,CLP,"4000,00",,,
BEBIDAS 350CC  - Pepsi,,AÇAÍ PRIME,,1,CLP,"2000,00",,,
BEBIDAS 350CC  - Pepsi Zero,,AÇAÍ PRIME,,3,CLP,"6000,00",,,
BEBIDAS 350CC  - Pepsi Zero,,,,4,CLP,"8000,00",,,
BEBIDAS 350CC  - Sprite,,AÇAÍ PRIME,,1,CLP,"2000,00",,,
BEBIDAS 350CC  - Sprite Zero,,AÇAÍ PRIME,,3,CLP,"6000,00",,,
Bowl Large (470 ml) - Açaí Clásico,,AÇAÍ PRIME,,1,CLP,"9580,00",,,
BURGER PASTRAMI PRIME,,,,8,CLP,"103920,00",,,
BURGER PASTRAMI PRIME,,AMERICAN PRIME BURGER,,20,CLP,"257202,00",,,
BURGER PASTRAMI PRIME (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,48,CLP,"645922,00",,,
Cafetería,CAPUCCINO,AÇAÍ PRIME,,5,CLP,"12000,00",,,
Cafetería,AMERICANO,AÇAÍ PRIME,,2,CLP,"4400,00",,,
Cafetería,CHOCOLATE CALIENTE,AÇAÍ PRIME,,1,CLP,"3000,00",,,
Cafetería,CORTADO,AÇAÍ PRIME,,1,CLP,"2300,00",,,
Cafetería,ESPRESSO,AÇAÍ PRIME,,1,CLP,"2000,00",,,
Cafetería,LATTE,AÇAÍ PRIME,,2,CLP,"5600,00",,,
CAFETERÍA  -  CAPUCCINO,,AMERICAN PRIME BURGER,,3,CLP,"7200,00",,,
CAFETERÍA  - AMERICANO,,AMERICAN PRIME BURGER,,1,CLP,"2200,00",,,
CAFETERÍA  - CHOCOLATE CALIENTE,,AMERICAN PRIME BURGER,,1,CLP,"3000,00",,,
CAFETERÍA  - CORTADO,,AMERICAN PRIME BURGER,,1,CLP,"2300,00",,,
CAFETERÍA  - ESPRESSO DOBLE,,AMERICAN PRIME BURGER,,2,CLP,"5400,00",,,
CAFETERÍA  - LATTE,,AMERICAN PRIME BURGER,,2,CLP,"5600,00",,,
Cafetería -  CAPUCCINO,,AÇAÍ PRIME,,54,CLP,"129120,00",,,
Cafetería -  CAPUCCINO,,,,1,CLP,"2400,00",,,
Cafetería - AMERICANO,,AÇAÍ PRIME,,35,CLP,"77000,00",,,
Cafetería - AMERICANO,,,,5,CLP,"11000,00",,,
Cafetería - CHOCOLATE CALIENTE,,AÇAÍ PRIME,,9,CLP,"27000,00",,,
Cafetería - CORTADO,,AÇAÍ PRIME,,6,CLP,"13800,00",,,
Cafetería - CORTADO,,,,1,CLP,"2300,00",,,
Cafetería - ESPRESSO,,AÇAÍ PRIME,,5,CLP,"10000,00",,,
Cafetería - ESPRESSO DOBLE,,AÇAÍ PRIME,,5,CLP,"13500,00",,,
Cafetería - ESPRESSO DOBLE,,,,1,CLP,"2700,00",,,
Cafetería - LATTE,,AÇAÍ PRIME,,19,CLP,"53200,00",,,
CHEESE BURGER,,AMERICAN PRIME BURGER,,45,CLP,"242000,00",,,
CHEESE BURGER,,,,24,CLP,"132000,00",,,
CHEESE BURGER (INCLUYE PAPAS FRITAS),,AMERICAN PRIME BURGER,,117,CLP,"651600,00",,,
